tb_user_bag         --用户道具背包表，记录用户拥有的道具数量，等级等信息
tb_user_passwd      --用户账户、密码、密码验证码、绑定的手机号、绑定的邮箱号
tb_user_member      --用户账户详细信息
tb_user_topstick    --用户顶贴值记录表
tb_user_buff		--用户的buff
tb_friend           --用户好友关系表
tb_friend_request   --添加好友请求列表
tb_karma            --存储所有用户发送的缘分纸条
tb_karma_msg        --存储所有用户缘分纸条离线消息
tb_karma_relation   --用户缘分关系表
tb_world_currently  --存储所有用户当前所在世界id
tb_dialog           --论坛对白内容存储
tb_dialog_stat      --论坛用户对白状态属性
tb_sys_dialog_stat  --论坛系统对白状态属性
tb_score_stat       --用户虚拟币存储
tb_attack_records	--道具攻防记录
tb_prop_records		--纯记录用户的道具变化
tb_score_record		--纯记录用户的积分变化
tb_vragon_account   --系统账号总表（注册账号从这里获得 可预留靓号）
tb_user_active		-- 记录用户在线时长
